Job_Title,Department,Min_Pay,Max_Pay,Min_Hours,Max_Hours,Job_Desc,Address,Phone_Number,Employer
Programmer,Student Activities,10.00,10.00,20,20,"This position will support architectural projects for RAD-UM at the  School of Architecture . Specifically, the job position requires some  programming knowledge in back-end and front-end web development,  working knowledge of API's, and the theoretical concepts behind object-  oriented programming. Must have some knowledge of PHP, Javascript,  and Java. This position will have the opportunity to work on a variety of  creative projects. For more info, please contact Chris Chung Telephone #  305-284-5080 E-mail: christopher.chung@miami.edu ","230D Architecture 48          School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080,"MR Christopher Chung, Department of SCHOOL OF ARCHITECTURE"
Research Assistant,Student Activities,9.00,10.00,20,20,"Research Assistants will undergo a wide variety of tasks for RAD-UM  at the School of Architecture. This includes, but not limited to, specific  research or precedent study for a given project; 3D-modelling (in Rhino,  , Sketchup, 3DS Max, or Revit); rendering (V-Ray for Rhino or 3DS Max);  plans, sections, and elevation drawings; physical modeling; diagramming or  post-production using the Adobe Suite programs. Additionally, those who  have a knack or are interested in technology and its influence on  Architecture should apply. ","230D Architecture 48         School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080,"DR Lillian Manzor, Department of MODERN LANGUAGES & LITERATURES"
student assistant,Student Activities,8.50,10.00,20,20,"Student assistant needed for the following duties: Making signage, name  tents, name badges, putting together premiums, program material preparation  , matrices and evaluations. Event set up and support is expected.  General office duties include filing, photocopying, answering phones and  providing administrative support. Must possess good working knowledge of  Microsoft Word, Power Point and Excel. Bilingual in Spanish preferred but  not required. Please contact Viena Perez Telephone number: (305) 284-9176  E-mail: vperez@bus.miami.edu ","111 Jenkins        SBA - Executive Education -STA 5250 University Dr Coral Gables, FL 33146 2000",(305)284-5670 Ext.,"SCHOOL OF EDUCATION, Viena Perez"
technology student assistant,Student Activities,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact:Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)       Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000,"LAW SCHOOL, Jose Marcos"
clerical,RSMAS,9.00,12.50,10,14,Reception duties,"213 Pope Life Center, Neurological Surgery - Admin - 1095 NW 14th Ter, Miami, FL 33136",(305)243-3562,"SCHOOL OF EDUCATION, Jackie Ojeda "
Program Assistant,Other,10.00,10.00,10,14,"The Miami Council for International Visitors arranges professional  appointments for emerging leaders from around the globe who are here by  invitation from the US Dept. of State IVLP program. The Program Assistant  will assist in scheduling appointments within the local community,  research, assist in preparation and deliveries of visitor itineraries, and  assisting in areas of management and administration.","37-K, Office of Student Employment, Coral Gables, FL 33124",305-421-6344,Maria Pavon of Department of Special Olympics Florida
Program Assistant,Other,8.25,8.25,10,10,Athletic Olympic style sports program for children with intellectual  disabilities is looking for a student to work with the County Director to  help ensure the success of the program. Student will be assisting with  marketing and PR efforts as well as administrative duties. Agency is  located at the Downtown office and is right off the metrorail.,"37-K, Office of Student Employment, Coral Gables, FL 33124",305-284-6641,Ms Annette Alvarez of The Miami Council for International Visitors
social media assistant,Schools and Libraries,9.10,10.50,10,12,"Student needed to assist with organization and improvement of presence in  social networks (Facebook, Instagram, Linkedin). Welcome and greet visitors  direct visitors to correct destinations, schedule appointments, answer  phones, screen and direct calls, and take messages. Student must be  knowledgeable and experienced in using the various social media platforms,  websites and applications. ","A312B Law Admin (A)	 HR - Gables-RSMAS -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3076 Ext.,LAW SCHOOL
social media assistant,Other,9.10,9.10,10,12,"Student needed to assist with organization and improvement of presence in  social networks (Facebook, Instagram, Linkedin). Welcome and greet visitors  direct visitors to correct destinations, schedule appointments, answer  phones, screen and direct calls, and take messages. Student must be  knowledgeable and experienced in using the various social media platforms,  websites and applications. ","A312B Law Admin (A)	 HR - Gables-RSMAS -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3076 Ext.,LAW SCHOOL
Office of Registrar Student Assistant,Administrative Offices,11.50,11.50,10,14,"The Office of Registrar is looking for a graduate student to help develop  and maintain the Registrars website. The student must be proficient in HTML  Adobe Dreamweaver, Photoshop/Fireworks, Flash or other similar programs.  The Student will be editing, organizing, and inputting copy/images into the  Universitys web-based content management system, as well manage the offices  social media accounts, and other projects as assigned. Only graduate  students with FWS funds may apply. Please email us your resume and copys of  your work. Contact Cynthia Connor E-mail: c.connor1@miami.edu (03) ","101.04 Modular A University Registrar -STA 1307 Stanford Dr Coral Gables, FL 33146",(305)284-1705 Ext.,"MS Marie Bosley Gordon, Department of SR VICE PROVOST-UNDERGRADUATE"
Student assistant,Medical Campus,9.00,9.00,10,14,Student will be sorting daily incoming and outgoing mail to deliver at  different locations on the medical campus. For more information please  contact Ms.Joyce Sadler at 305-243-2760 or email her at  jsadler@med.miami.edu ,"1460 Soffer Family CRC         Psychiatry & Behavioral Scienc 1120 NW 14th St Miami, FL 33136 2107",(305)243-2760 Ext.,"CIVIL, ARCHITECTURAL & ENV ENG"
Salesforce Specialist-Communication,Administrative Offices,10.00,10.00,10,14,"The Communications Support team member is responsible for sending out  email communication using the ERP CRM and marketing automation tool. This  includes creating campaigns, point and click workflow, testing and  escalating any issues to the appropriate internal teams. Will actively  monitor outbound communication for success and potential issues. Must have  good understanding of web technology and software. Please contact  Florence Parodi at 305-284-5383 or at fparodi@miami.edu ","1050 Gables One Tower UMIT - ERP - Student System -S 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-5383 Ext.,"MS Florence Parodi, Department of ENTERPRISE RESOURCE PLANNING"
File Clerk,Administrative Offices,8.05,8.05,10,14,Student Employee needed for the following duties; Filing documents and  creating new file folders. Occasional phone work or other light tasks.  Please Contact: Beverly Golden Telephone number: 305-284-4502  Email: bgolden@miami.edu ,"1235J Gables One Tower	 Treasurer - Treasury Operation 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-4502 Ext.,"MRS Beverly Golden, Department of OFFICE OF THE TREASURER"
Research Assistant,Administrative Offices,10.00,10.00,10,14,"Student Employee needed for the following duties;use basic internet  research skills to find contact information for a number of municipal  governments,contact those governments to request certain forms and  documents,to keep track of the contacts requests, collect  forms and documents as they are provided by the municipal governments, and  to catalog or file the documents online using the UM BOX program.  Please Contact: Jennifer Connolly Telephone Number:(305) 284-4232  Email: jmconnolly@miami.edu ","160C 1300 Campo Sano	 College of A&S - Political Sci 1300 Campo Sano Ave Coral Gables, FL 33146",(305)284-2401,"MS Heidi Guevara, Department of PSYCHOLOGY"
Student Assistant,Administrative Offices,10.00,10.00,10,14,"Department of Real Estate and Facilities seeking a student with flexibility  , great organizational skills, drive and great work ethic to work on  special projects, perform basic research and answer phones for multiple  departments. The student will be required to perform general office  clerical duties, including data entry, data analytics, research, and  special projects as assigned.  Please Contact: Debbie Riedmiller Telephone Number: 305 284-5660  E-mail: DRiedmiller@miami.edu","204 1535 Levante	 Real Estate & Facilities - Bus 1535 Levante Ave Coral Gables, FL 33146 2416",(305)284-5314 Ext.,"MRS Sandra Dostaler, Department of SCHIFF CENTER FOR LIVER DISEAS"
Student Assistant,Administrative Offices,10.00,10.00,10,14,"Student Employee needed for the following duties; performing general  office clerical duties, such as data entry, data analytics, answering phone  calls for multiple departments, research and special projects as assigned.  The student will be required to have flexibility, great organizational  skills, drive and great work ethic.Please Contact: Debbie Riedmiller  Telephone Number: (305) 284-5660 Email: DRiedmiller@miami.edu ","204 1535 Levante	 Real Estate & Facilities - Bus 1535 Levante Ave Coral Gables, FL 33146 2416",(305)284-5314 Ext.,"MS Donna Franklin, Department of FAMILY MEDICINE & COMMUNITY HE"
admin assistant,Schools and Libraries,9.50,9.50,10,14,"Student will work with Nature Links in developing programs, speakers, etc  for young adults with intellectual disabilities- notably at one of our  three programs. See www.naturelinks.net. The person we seek must be  sensitive to special needs adults, a self starter who doesn't need constant  oversight, and a hard worker. Possible web-video experience and research  experience is a plus.  ","609 Ashe Administration College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509",(305)284-6406 ,HISTORY
admin assistant,Other,9.50,9.50,10,14,"Student will work with Nature Links in developing programs, speakers, etc  for young adults with intellectual disabilities- notably at one of our  three programs. See www.naturelinks.net. The person we seek must be  sensitive to special needs adults, a self starter who doesn't need constant  oversight, and a hard worker. Possible web-video experience and research  experience is a plus.  ","609 Ashe Administration College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509",(305)284-6406 ,HISTORY
Administrative Assistant,Schools and Libraries,9.50,9.50,10,14,"Student will work with Nature Links in developing programs, speakers, etc  for young adults with intellectual disabilities- notably at one of our  three programs. See www.naturelinks.net. The person we seek must be  sensitive to special needs adults, a self starter who doesn't need constant  oversight, and a hard worker. Possible web-video experience and research  experience is a plus. ","609 Ashe Administration College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509",(305)284-6406 Ext.,HISTORY
Administrative Assistant,Other,9.50,9.50,10,14,"Student will work with Nature Links in developing programs, speakers, etc  for young adults with intellectual disabilities- notably at one of our  three programs. See www.naturelinks.net. The person we seek must be  sensitive to special needs adults, a self starter who doesn't need constant  oversight, and a hard worker. Possible web-video experience and research  experience is a plus. ","609 Ashe Administration College of A&S - History -FAC 1252 Memorial Dr Coral Gables, FL 33146 2509",(305)284-6406 Ext.,HISTORY
Clerical,Medical Campus,9.00,10.00,10,14,"ob entails administrative duties to support the office of Education and  Training, assisting with scheduling, preparing forms and folders, preparing  to help with events, requisitions and reimbursements, assisting with travel  arrangements, and setting up meetings.","37-K        Office of Student Employment Coral Gables, FL 33124 5250",(305)284-6641,"MS Jacqueline Ojeda, Department of EDUCATION AND PSYCHOLOGICAL ST"
