Position_Title,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7
Programmer,Graphics/Design,Database programs,Javascript,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Research Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
student assistant,Events/Promotions,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Spanish
technology student assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct.
clerical,Excel,MS Word,bilingual (prefered),,,,
Program Assistant,Record keeping,Excel,MS Word,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
Program Assistant,MS Word,PhotoShop,Windows,Attentive to detail,Classifying/Organizing,Communication (Oral),Organized
social media assistant,Marketing,Public Relations,Communication (Visual),Communication (Written),Developing ideas,Reception/Customer Serv,
social media assistant,Marketing,Public Relations,Communication (Visual),Communication (Written),Developing ideas,Reception/Customer Serv,
Office of Registrar Student Assistant,Graphics/Design,Layout/Paste-up,Advertising,Events/Promotions,Marketing,Database programs,Excel
Student assistant,Helping/Serving others,Classifying/Organizing,Communication (Oral),Communication (Visual),,,
Salesforce Specialist-Communication,Troubleshooting,Tolerance - Repetition,,,,,
File Clerk,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Research Assistant,Database programs,Excel,Helping/Serving others,Archives,Attentive to detail,Communication (Oral),Communication (Written)
Student Assistant,Public Speaking,Database programs,Excel,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral)
Student Assistant,Database programs,Excel,MS Word,Helping/Serving others,Assertive,Communication (Oral),Communication (Written)
admin assistant,Events/Promotions,Excel,HTML Programming,MS Word,Powerpoint,Analytical Skills,Artistic
admin assistant,Events/Promotions,Excel,HTML Programming,MS Word,Powerpoint,Analytical Skills,Artistic
Administrative Assistant,Events/Promotions,Excel,HTML Programming,MS Word,Powerpoint,Analytical Skills,Artistic
Administrative Assistant,Events/Promotions,Excel,HTML Programming,MS Word,Powerpoint,Analytical Skills,Artistic
Clerical,Attentive to detail,Organized,Email/Internet,Filing,Typing,,
